Date : 2023-12-06 15:21:58
Directory : /Users/jinyizhou/myGithubRepo/Menumind-Final
Total : 57 files,  9004 codes, 360 comments, 246 blanks, all 9610 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/App.test.js                        | JavaScript     |          7 |          0 |          2 |          9 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/animations/index.js                | JavaScript     |         22 |          0 |          3 |         25 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/api/index.js                       | JavaScript     |         40 |          3 |          6 |         49 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/assets/css/Loader.css              | CSS            |        121 |          3 |         19 |        143 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/assets/icons/index.js              | JavaScript     |         37 |          0 |          2 |         39 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/assets/index.js                    | JavaScript     |          3 |          0 |          0 |          3 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/Alert.jsx               | JavaScript JSX |         39 |          0 |          6 |         45 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBHeader.jsx            | JavaScript JSX |         65 |          0 |          5 |         70 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBHome.jsx              | JavaScript JSX |         64 |          7 |          7 |         78 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBItems.jsx             | JavaScript JSX |         73 |          0 |          2 |         75 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBLeftSection.jsx       | JavaScript JSX |         50 |         12 |          3 |         65 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBNewItem.jsx           | JavaScript JSX |        154 |         56 |          7 |        217 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBOrders.jsx            | JavaScript JSX |          7 |          0 |          2 |          9 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBRightSection.jsx      | JavaScript JSX |         19 |          0 |          2 |         21 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DBUsers.jsx             | JavaScript JSX |          7 |          0 |          2 |          9 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/DataTable.jsx           | JavaScript JSX |         17 |          0 |          3 |         20 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/FilterSection.jsx       | JavaScript JSX |         59 |          0 |          4 |         63 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/Header.jsx              | JavaScript JSX |         91 |         24 |          6 |        121 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/Home.jsx                | JavaScript JSX |         21 |        189 |         25 |        235 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/LoginInput.jsx          | JavaScript JSX |         23 |          0 |          3 |         26 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/MainLoader.jsx          | JavaScript JSX |        118 |          0 |          2 |        120 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/SliderCard.jsx          | JavaScript JSX |         43 |          0 |          5 |         48 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/Spinner.jsx             | JavaScript JSX |         11 |          0 |          2 |         13 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/components/index.js                | JavaScript     |         17 |          0 |          0 |         17 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/config/firebase.config.js          | JavaScript     |         13 |          0 |          3 |         16 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/containers/Dashboard.jsx           | JavaScript JSX |         11 |          0 |          2 |         13 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/containers/Login.jsx               | JavaScript JSX |        193 |         11 |         19 |        223 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/containers/Main.jsx                | JavaScript JSX |         26 |          0 |          4 |         30 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/containers/index.js                | JavaScript     |          3 |          0 |          0 |          3 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/actions/alertActions.js    | JavaScript     |         30 |          0 |          4 |         34 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/actions/productActions.js  | JavaScript     |         11 |          0 |          1 |         12 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/actions/userActions.js     | JavaScript     |         17 |          0 |          2 |         19 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/alertReducer.js   | JavaScript     |         17 |          0 |          1 |         18 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/index.js          | JavaScript     |         10 |          0 |          2 |         12 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/productReducer.js | JavaScript     |         11 |          0 |          3 |         14 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/context/reducers/userReducer.js    | JavaScript     |         13 |          0 |          4 |         17 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/index.css                          | CSS            |         17 |          0 |          4 |         21 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/index.js                           | JavaScript     |         25 |          0 |          2 |         27 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/logo.svg                           | XML            |          1 |          0 |          0 |          1 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/reportWebVitals.js                 | JavaScript     |         12 |          0 |          2 |         14 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/setupTests.js                      | JavaScript     |          1 |          4 |          1 |          6 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/src/utils/styles.js                    | JavaScript     |         13 |          0 |          2 |         15 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/client/tailwind.config.js                     | JavaScript     |         61 |          1 |          2 |         64 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/firebase.json                          | JSON           |         17 |          0 |          1 |         18 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/.eslintrc.js                 | JavaScript     |         20 |          9 |          0 |         29 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/index.js                     | JavaScript     |         26 |          4 |         10 |         40 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/package-lock.json            | JSON           |      7,016 |          0 |          1 |      7,017 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/package.json                 | JSON           |         29 |          0 |          1 |         30 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/routes/products.js           | JavaScript     |         52 |          2 |          5 |         59 |
| /Users/jinyizhou/myGithubRepo/Menumind-Final/server/functions/routes/user.js               | JavaScript     |         28 |          1 |          4 |         33 |
| Total                                                                                      |                |      9,004 |        360 |        246 |      9,610 |
+--------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
